
  1. setup                                          : etime=00:00:02.7    ctime=00:00:03.5    rss=153.012 Mbyte     virtual=146.344 Mbyte     
     1. loading mesh                                : etime=00:00:01.6    ctime=00:00:01.5    rss=145.883 Mbyte     virtual=141.945 Mbyte     
     2. setup of local problems for iwp             : etime=00:00:00.0    ctime=00:00:00.0    rss=145.883 Mbyte     virtual=141.945 Mbyte     
     3. loading circuit components                  : etime=00:00:00.0    ctime=00:00:00.1    rss=145.883 Mbyte     virtual=141.945 Mbyte     
        1. reading current sources from calcbridge  : etime=00:00:00.0    ctime=00:00:00.0    rss=145.883 Mbyte     virtual=141.945 Mbyte     
        2. building current sources for waveguide ports: etime=00:00:00.0    ctime=00:00:00.0    rss=145.883 Mbyte     virtual=141.945 Mbyte     
        3. connectivity check                       : etime=00:00:00.0    ctime=00:00:00.1    rss=145.883 Mbyte     virtual=141.945 Mbyte     
           1. legacy FindImpedanceLinePaths [TO BE OBSOLETED]: etime=00:00:00.0    ctime=00:00:00.1    rss=145.883 Mbyte     virtual=141.945 Mbyte     
              1. setInductance                      : etime=00:00:00.0    ctime=00:00:00.0    rss=145.883 Mbyte     virtual=141.945 Mbyte     
     4. assigning unknowns                          : etime=00:00:00.6    ctime=00:00:01.5    rss=145.883 Mbyte     virtual=141.945 Mbyte     
        1. LFenhance                                : etime=00:00:00.4    ctime=00:00:00.9    rss=145.883 Mbyte     virtual=141.945 Mbyte     
     5. setup circuit components                    : etime=00:00:00.4    ctime=00:00:00.4    rss=152.703 Mbyte     virtual=146.137 Mbyte     
        1. line paths + line integrals              : etime=00:00:00.4    ctime=00:00:00.4    rss=152.699 Mbyte     virtual=146.137 Mbyte     
           1. node2cell connectivity                : etime=00:00:00.1    ctime=00:00:00.1    rss=145.883 Mbyte     virtual=141.945 Mbyte     
           2. edge2cell connectivity                : etime=00:00:00.2    ctime=00:00:00.2    rss=152.617 Mbyte     virtual=146.137 Mbyte     
        2. iwp                                      : etime=00:00:00.0    ctime=00:00:00.0    rss=152.703 Mbyte     virtual=146.137 Mbyte     

